"시점","행정구역(시군구)별","성별",계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세 이상,80세,81세,82세,83세,84세,85세 이상,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
"2021","경기도","남자",6740110,38639,43332.5,47941.5,52305,58159.5,63910,65817.5,65005,68416.5,70910,69539.5,67495,66757.5,69639,67921,63104,64037.5,67818,69001,73703.5,83226,87178,86494.5,89620,93460,97673,101038.5,101822,103029,102613.5,96518,90916.5,90078.5,89299,89251,92255.5,94555,101436.5,113148,119802.5,120782,118791.5,110552.5,106520.5,108786,109175,114484.5,120188.5,122352,126002,126212.5,122964,120600,113597.5,107994,108510.5,108547.5,104312.5,105529.5,109919.5,109416.5,103898,94907,88597,80653,75636,69980.5,59047,56538,48487,39844,41753,41591.5,41475,37408,31202.5,28529.5,27598,29434,28336.5,143088.5,22988,20469,18589,16003.5,13709,51330,11623.5,9580,7461.5,5813.5,4450.5,3287.5,2644,1984.5,1377,907.5,608,443.5,388.5,306.5,182.5,271.5
"2021","경기도","여자",6658835,37162.5,41419,45607,49472,55033.5,61099.5,62894.5,62254.5,65314,67593.5,65971,63916.5,63542.5,66487.5,64739.5,59876,60878.5,64160.5,64502.5,68565.5,76766.5,79805,79414,82941.5,85926.5,87416.5,88365,88381,89824.5,90924,86275,82651.5,83168.5,83396.5,83997,87073.5,89916,96496.5,107666.5,114597.5,115828,115028.5,106171,102809,105803,105521,111142,117467.5,119340.5,121360.5,122150.5,120793,120839,115890,105704,103669.5,105912,99933,100243.5,106556.5,108032.5,102589,93175,87168.5,81141,78113,72803,61478,59889,52135,44015,46578.5,46625.5,47480.5,43946.5,37326,35674.5,36185,39297.5,38858.5,268668.5,33112,30938,29444,26563.5,24213,124398,22240.5,19653,16280,13744.5,11308,9307,7926.5,6483,5083.5,3636,2599,1826,1373.5,1075,681,1181.5
"2021","강원도","계",1530536.5,7497,8357.5,8716.5,9113,10100.5,11074,11400,11494.5,12399.5,13094,13054,12781.5,12658.5,13368.5,13208.5,12653.5,13385,14119.5,14615,15675.5,17712,18473,18298,18427,18233,17768,17457,17026.5,16971,16777.5,15888.5,15102.5,14949,14761.5,14785,15344.5,15803.5,17053.5,19325,20498.5,20761.5,20851,20012,19820,20291,20848,22545,24499.5,24979,25416.5,26064.5,26467.5,27274,26408,25317,25160,25171,25268.5,26948,29699,30757,30193.5,28596.5,27803.5,26283.5,24668,23358.5,20045.5,20050.5,17086,12737,13361.5,13968,14702,13850,12667.5,12671.5,12579,13361,13238,85337,11816.5,11066.5,10230,8877.5,7735,35611.5,6817,5748,4692.5,3804.5,3050.5,2599,2230.5,1796,1388,1002.5,737,550.5,408.5,285,170,332
"2021","강원도","남자",770403,3820.5,4291,4439,4650.5,5223.5,5656.5,5803.5,5890,6305,6718.5,6747,6580.5,6515.5,6952.5,6889.5,6586,6978.5,7342.5,7616,8290,9506,9984,10138.5,10548.5,10588.5,10365,10085.5,9758.5,9553.5,9177.5,8761,8321.5,8006,7767,7768,8129.5,8243,8811,9861.5,10405.5,10552.5,10510,10186,10110.5,10313,10639.5,11539.5,12646,13063,13296.5,13600.5,13774.5,14169.5,13614.5,13147.5,12978,12790.5,12982,13832,14969.5,15232.5,14929,14276.5,14099,13366,12386,11704,9980.5,9850,8243,5939,6278.5,6567.5,6864,6471.5,5793.5,5557,5374.5,5603,5397,28700.5,4718.5,4281.5,3894.5,3305.5,2793,9707.5,2325,1749.5,1337,1035.5,771,621,498,371,266,179,146,131,111.5,71.5,30,64.5
"2021","강원도","여자",760133.5,3676.5,4066.5,4277.5,4462.5,4877,5417.5,5596.5,5604.5,6094.5,6375.5,6307,6201,6143,6416,6319,6067.5,6406.5,6777,6999,7385.5,8206,8489,8159.5,7878.5,7644.5,7403,7371.5,7268,7417.5,7600,7127.5,6781,6943,6994.5,7017,7215,7560.5,8242.5,9463.5,10093,10209,10341,9826,9709.5,9978,10208.5,11005.5,11853.5,11916,12120,12464,12693,13104.5,12793.5,12169.5,12182,12380.5,12286.5,13116,14729.5,15524.5,15264.5,14320,13704.5,12917.5,12282,11654.5,10065,10200.5,8843,6798,7083,7400.5,7838,7378.5,6874,7114.5,7204.5,7758,7841,56636.5,7098,6785,6335.5,5572,4942,25904,4492,3998.5,3355.5,2769,2279.5,1978,1732.5,1425,1122,823.5,591,419.5,297,213.5,140,267.5
"2021","충청북도","계",1591246,8214.5,9055.5,10045.5,11091.5,12103,13202,13471.5,13545.5,14429,14980.5,14899.5,14485,14255,15010.5,14687.5,13709,14199,14932,15289,16306,18318.5,19052,18923,19271,19667.5,19971,20347,20494,20451,19757.5,18459,17510,17377,17456.5,17739.5,18170,18788.5,20178,22429,23482,23350.5,23335,21998.5,21550.5,22367.5,22635,24182,25987.5,25961,26178,26852.5,27759,28864.5,27797,26368,26429.5,26190,24346.5,25960.5,29765.5,29858.5,27947,26328,25735,24486,22917.5,21305,18478.5,18201.5,15983.5,12855.5,13112.5,13298.5,13287,11843,10276.5,10338.5,10643.5,12081,12038,76600,9818.5,9391,8977.5,7921,7303.5,33188.5,6657,5714.5,4642,3780.5,2907.5,2290.5,1916.5,1505,1149,784.5,539,384,286.5,234,162,236
"2021","충청북도","남자",806851.5,4191,4677.5,5190,5670.5,6203,6755.5,6807,6865,7357.5,7663,7668.5,7471.5,7392,7790,7563,7084.5,7434.5,7838.5,8008,8564,9728.5,10265.5,10230,10479.5,10913,11242.5,11559,11799,11828,11233.5,10337,9660.5,9396.5,9351,9456.5,9645,9876.5,10564,11573,12166,12096.5,12071.5,11483,11208.5,11539,11666,12411.5,13381.5,13456.5,13648,13939,14260.5,14613,14037.5,13641,13729.5,13447,12583.5,13500,15343,15094.5,14002,13338,13130,12414.5,11483,10543,9156,8972,7788.5,6184.5,6357,6454.5,6295.5,5503.5,4676,4505,4453.5,4958,4827.5,25160,3849,3607,3314.5,2836,2515.5,9038,2139.5,1767.5,1333,1031.5,731,523,421,335,252.5,157,102.5,78,54.5,45,32.5,34.5
"2021","충청북도","여자",784394.5,4023.5,4378,4855.5,5421,5900,6446.5,6664.5,6680.5,7071.5,7317.5,7231,7013.5,6863,7220.5,7124.5,6624.5,6764.5,7093.5,7281,7742,8590,8786.5,8693,8791.5,8754.5,8728.5,8788,8695,8623,8524,8122,7849.5,7980.5,8105.5,8283,8525,8912,9614,10856,11316,11254,11263.5,10515.5,10342,10828.5,10969,11770.5,12606,12504.5,12530,12913.5,13498.5,14251.5,13759.5,12727,12700,12743,11763,12460.5,14422.5,14764,13945,12990,12605,12071.5,11434.5,10762,9322.5,9229.5,8195,6671,6755.5,6844,6991.5,6339.5,5600.5,5833.5,6190,7123,7210.5,51440,5969.5,5784,5663,5085,4788,24150.5,4517.5,3947,3309,2749,2176.5,1767.5,1495.5,1170,896.5,627.5,436.5,306,232,189,129.5,201.5
"2021","충청남도","계",2109102,11245.5,12721,13869,15087.5,16798,18451.5,19042,19112,20278.5,21022.5,20691,20099.5,19950,20849,20330,18983.5,19214.5,19974.5,20094,21221,23742.5,24334.5,23576.5,23537.5,23461.5,23635,23897,24257,24857.5,24733.5,23596,23178.5,23450.5,24107,24587,25181,25739.5,27873.5,31551.5,33462,33458.5,32797.5,30666.5,29898,30653,30690.5,32408.5,34546,34211.5,34924,35466.5,35126,35920,34523,31800,31642.5,33074.5,31466,32246.5,36359,37794,35726,32110,30459.5,29192,28747.5,27664.5,23224.5,21972,20822,19289,20012.5,19656.5,19195,16745.5,13680,13815.5,14578,16891,17071.5,116784,13666,13243.5,13366.5,12117,11170,53221,10328.5,9076,7437,6288,4993.5,3695.5,3010,2415.5,1790,1239,871.5,615,472.5,370.5,236,382.5
"2021","충청남도","남자",1077094,5829.5,6531.5,7064.5,7702,8582,9448,9747,9766,10361.5,10815,10723,10427.5,10310.5,10804,10579.5,9833,9894,10342.5,10519,11137.5,12536.5,13072.5,12865,12971.5,13033,13314,13634.5,13716,13767.5,13666,13171.5,12801,12759,12979,13183.5,13508,13732.5,14805.5,16737.5,17831.5,17837,17373,16387.5,16103,16254,16080,17105,18354.5,18326,18879.5,19115.5,18768,19006.5,18088.5,16879.5,16834.5,17365.5,16546,17034.5,19007.5,19359,18059.5,16191,15466.5,14812.5,14349,13642,11422,10720,10134,9311.5,9623.5,9479.5,9156,8001.5,6445,6088.5,6155,6919.5,6819.5,39090.5,5338,5029.5,4925,4343.5,3929.5,15525,3481,2968.5,2350,1854,1391.5,966.5,743,555,391,275,188,125,86.5,61.5,36.5,52
