사업체명,산업대분류,주소,상시근로자수,고용의무인원,장애인 근로자(2배수),장애인고용률(2배수)
써모피셔사이언티픽솔루션스,(G)도매 및 소매업(45~47),서울특별시 강남구,353,10,0,0
(주)야놀자,(J)정보통신업(58~63),서울특별시 강남구,775,24,1,0.13
루이비통코리아(유),(G)도매 및 소매업(45~47),서울특별시 강남구,706,21,1,0.14
부루벨코리아(주),(G)도매 및 소매업(45~47),서울특별시 강남구,2461,76,4,0.16
메트라이프생명보험(주),(K)금융 및 보험업(64~66),서울특별시 강남구,571,17,1,0.18
(주)성주디앤디,(C)제조업(10~34),서울특별시 강남구,554,17,1,0.18
(주) ABB코리아,(G)도매 및 소매업(45~47),서울특별시 강남구,541,16,1,0.18
(의)성광의료재단차병원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 강남구,3507,108,7,0.2
메가존(주),(J)정보통신업(58~63),서울특별시 강남구,426,13,1,0.23
(주)애큐온저축은행,(K)금융 및 보험업(64~66),서울특별시 강남구,381,11,1,0.26
주식회사여기어때컴퍼니,(J)정보통신업(58~63),서울특별시 강남구,363,11,1,0.28
시슬리코리아(유),(G)도매 및 소매업(45~47),서울특별시 강남구,354,10,1,0.28
주식회사피앤피머천다이징,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 강남구,342,10,1,0.29
(주)에프앤에프,(G)도매 및 소매업(45~47),서울특별시 강남구,339,10,1,0.29
한국아스텔라스제약(주),(G)도매 및 소매업(45~47),서울특별시 강남구,312,9,1,0.32
한울회계법인,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,301,9,1,0.33
유한회사 나이키코리아,(G)도매 및 소매업(45~47),서울특별시 강남구,1072,33,4,0.37
(주)에스엠컬처앤콘텐츠,"(R)예술, 스포츠 및 여가관련 서비스업(90~91)",서울특별시 강남구,517,16,2,0.39
한국이엠씨컴퓨터시스템즈(주),(J)정보통신업(58~63),서울특별시 강남구,472,14,2,0.42
건설공제조합,(K)금융 및 보험업(64~66),서울특별시 강남구,471,14,2,0.42
풀무원아이엔,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,1812,56,9,0.5
메가존클라우드,(J)정보통신업(58~63),서울특별시 강남구,396,12,2,0.51
디비아이엔씨,(J)정보통신업(58~63),서울특별시 강남구,387,11,2,0.52
(주)청담러닝,(P)교육 서비스업(85),서울특별시 강남구,562,17,3,0.53
(주)케이씨이앤씨,(F)건설업(41~42),서울특별시 강남구,903,27,5,0.55
주식회사중앙엠앤에이치,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강남구,845,26,5,0.59
전원산업(주),(I)숙박 및 음식점업(55~56),서울특별시 강남구,331,10,2,0.6
(주)서양네트웍스,(C)제조업(10~34),서울특별시 강남구,488,15,3,0.61
(주)티비에이치글로벌,(C)제조업(10~34),서울특별시 강남구,329,10,2,0.61
이연제약(주),(C)제조업(10~34),서울특별시 강남구,477,14,3,0.63
보테가베네타코리아,(G)도매 및 소매업(45~47),서울특별시 강남구,317,9,2,0.63
이베이코리아 유한책임회사,(G)도매 및 소매업(45~47),서울특별시 강남구,936,29,6,0.64
(주)아이스크림에듀,(J)정보통신업(58~63),서울특별시 강남구,469,14,3,0.64
(주)대현,(C)제조업(10~34),서울특별시 강남구,459,14,3,0.65
(주)위인크,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강남구,750,23,5,0.67
(주)피엔에이링크,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강남구,566,17,4,0.71
캐논쎄미콘닥터엔지니어링코리아,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,403,12,3,0.74
에릭슨 엘지,(C)제조업(10~34),서울특별시 강남구,668,20,5,0.75
일진글로벌,(C)제조업(10~34),서울특별시 강남구,526,16,4,0.76
세아상역(주),(C)제조업(10~34),서울특별시 강남구,965,29,8,0.83
한국오라클(유),(J)정보통신업(58~63),서울특별시 강남구,959,29,8,0.83
삼경무역(주),(G)도매 및 소매업(45~47),서울특별시 강남구,469,14,4,0.85
(주)디비메탈(DB Metal),(C)제조업(10~34),서울특별시 강남구,337,10,3,0.89
케이투코리아(주),(C)제조업(10~34),서울특별시 강남구,328,10,3,0.91
브리티쉬아메리칸토바코코리아,(G)도매 및 소매업(45~47),서울특별시 강남구,433,13,4,0.92
법무법인(유한)바른,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,327,10,3,0.92
고진모터스,(G)도매 및 소매업(45~47),서울특별시 강남구,425,13,4,0.94
(주)해안종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강남구,845,26,8,0.95
(주)맨파크,(G)도매 및 소매업(45~47),서울특별시 강남구,811,25,8,0.99
(주)한솔케미칼,(C)제조업(10~34),서울특별시 강남구,506,15,5,0.99
한일건설(주),(F)건설업(41~42),서울특별시 강남구,301,9,3,1
에스에이피코리아(주),(J)정보통신업(58~63),서울특별시 강남구,477,14,5,1.05
디비씨에스아이손해사정,(K)금융 및 보험업(64~66),서울특별시 강남구,472,14,5,1.06
금화피에스시,(F)건설업(41~42),서울특별시 강남구,1020,31,11,1.08
(주)성도이엔지,(F)건설업(41~42),서울특별시 강남구,1199,37,14,1.17
한국암웨이,(C)제조업(10~34),서울특별시 강남구,343,10,4,1.17
(주)영풍,(C)제조업(10~34),서울특별시 강남구,663,20,9,1.36
(주)유니에스,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강남구,10245,317,143,1.4
데상트코리아(주),(G)도매 및 소매업(45~47),서울특별시 송파구,617,19,0,0
(주)씨젠,(C)제조업(10~34),서울특별시 송파구,306,9,0,0
(주)약진통상,(C)제조업(10~34),서울특별시 송파구,435,13,1,0.23
강동성심병원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 강동구,1143,35,3,0.26
(주)태우이엔지,(F)건설업(41~42),서울특별시 송파구,1033,32,3,0.29
건국대학교 산학협력단,(P)교육 서비스업(85),서울특별시 광진구,337,10,1,0.3
